OSINT DAILY REPORT
Target,finance.gov.pk
Generated,2026-02-12 11:58:41.491374

SUBDOMAINS
Subdomain
api-economy.finance.gov.pk
bak-economy.finance.gov.pk
economy.finance.gov.pk
mail.finance.gov.pk
pub-economy.finance.gov.pk
webmail.finance.gov.pk
www.finance.gov.pk
ftp.finance.gov.pk

WEBSITE CHANGES
Text Change %,0.23
New Links,0
Removed Links,0

TREND
Volatility,VERY LOW

VIRUSTOTAL SUMMARY
Total,9
Malicious,
Suspicious,

WAPITI VULNERABILITIES
Vulnerability Name,Severity,URL,Parameter
Content Security Policy Configuration,Medium,/,
Content Security Policy Configuration,Medium,/,
Content Security Policy Configuration,Medium,/,
Content Security Policy Configuration,Medium,/,
Clickjacking Protection,Medium,/,
Clickjacking Protection,Medium,/,
Clickjacking Protection,Medium,/,
Clickjacking Protection,Medium,/,
HTTP Strict Transport Security (HSTS),Medium,/,
HTTP Strict Transport Security (HSTS),Medium,/,
HTTP Strict Transport Security (HSTS),Medium,/,
HTTP Strict Transport Security (HSTS),Medium,/,
MIME Type Confusion,Medium,/,
MIME Type Confusion,Medium,/,
MIME Type Confusion,Medium,/,
Inconsistent Redirection,High,/,
Inconsistent Redirection,High,/,
Information Disclosure - Full Path,Medium,/interface/root,

ALERTS
Severity,Type,Details
None,-,-
